,Round Number,Loss,Accuracy
0,0.0,0.7346381247846907,0.5876010781671159
1,1.0,0.6371056905011282,0.6495956873315364
2,2.0,0.6210587848871545,0.6846361185983828
3,3.0,0.649193330916433,0.7035040431266847
4,4.0,0.8102069060114837,0.6469002695417789
5,5.0,0.978577325928886,0.660377358490566
6,6.0,1.0540374768069491,0.6765498652291105
7,7.0,1.3448751474005192,0.6954177897574124
8,8.0,1.244799839839781,0.660377358490566
9,9.0,1.4870662525336376,0.6792452830188679
10,10.0,1.4935152559588862,0.6711590296495957
11,11.0,1.5474465272497295,0.660377358490566
12,12.0,1.7874307311127449,0.660377358490566
13,13.0,1.8029491046689592,0.6630727762803235
14,14.0,2.1073217308424876,0.6819407008086253
15,15.0,1.7465138820946378,0.6657681940700808
16,16.0,2.1983128892122252,0.6819407008086253
17,17.0,2.056051968242923,0.6819407008086253
18,18.0,2.0541799691809475,0.6846361185983828
19,19.0,2.207281021416348,0.6711590296495957
20,20.0,1.99155198274597,0.7008086253369272
21,21.0,2.1094756164962067,0.6900269541778976
22,22.0,2.3621373337234126,0.6846361185983828
23,23.0,2.5965784264382004,0.6711590296495957
24,24.0,2.5355614131351687,0.6738544474393531
